nb;time
8;2508
2;812
6;2030
5;1271
5;1607
3;1399
5;906
5;853
4;1241
2;988
3;1582
1;773
7;2253
2;806
7;2902
2;921
2;921
7;1835
9;3097
3;1050
6;1766
6;2543
4;1153
5;1392
1;654
2;802
5;1561
1;1006
1;582
5;2070
5;1554
4;1411
7;2921
8;3499
1;920
6;1876
4;2422
4;1013
2;1010
1;640
6;3126
2;808
5;2037
5;1714
5;2322
5;1699
6;1665
2;692
2;1300
1;709
3;938
5;1270
5;1280
5;1131
8;3199
8;2219
3;1284
1;630
1;1049
1;646
3;979
9;2364
3;899
1;619
9;2050
7;2062
1;958
2;726
9;1210
6;2306
8;2185
8;3074
5;1528
3;992
9;2043
7;2105
9;2105
8;4138
5;1615
6;2303
5;1462
4;1504
5;1379
4;826
5;1372
2;854
9;3215
3;881
2;892
1;545
5;2147
2;1486
8;1685
9;2407
8;4437
7;1709
5;2228
6;2413
5;1211
2;1006
1;1020
1;882
5;2266
8;3612
7;3007
2;934
6;3448
1;815
6;1799
9;3597
5;1422
7;1774
5;1554
7;3303
5;1761
9;1982
2;827
9;2192
4;1667
9;3937
9;2758
6;2298
2;864
4;1283
2;1129
7;3728
7;1353
8;3264
6;1616
6;924
9;2685
5;1434
4;1048
1;731
5;1052
6;1718
6;1814
7;2800
9;3184
1;820
7;3684
1;768
5;3034
1;1944
3;6146
6;3293
7;3708
1;772
4;1359
4;2465
6;1769
9;3769
8;2501
3;1857
4;2448
1;674
2;592
1;703
8;2443
4;1563
7;3350
9;2756
3;1707
3;2116
2;765
5;1882
6;2253
7;2250
4;1350
9;2617
3;1089
3;1185
5;2055
8;2928
4;1237
8;3033
5;1731
8;2940
2;1297
1;878
5;1319
8;3937
9;4972
4;1808
1;696
7;2823
3;1072
4;1492
2;1549
6;2389
1;645
9;3506
7;1827
5;1627
5;3139
5;1080
4;1441
9;1835
8;2697
2;778
6;2232
5;1468
2;720
7;1954
8;4606
6;4774
9;3832
1;820
5;1842
2;1238
5;1522
5;1611
7;2724
1;689
2;669
2;759
2;582
9;7036
6;3352
7;5169
3;815
1;676
4;981
1;715
8;2169
7;2743
6;1538
6;2404
9;2249
2;1023
7;1653
5;1741
1;876
6;1778
2;848
8;2101
9;1162
8;951
5;1649
1;869
2;853
4;880
9;2403
6;2500
5;1182
7;2582
3;2269
3;366
3;813
3;1217
3;3779
3;853
3;6035
7;3130
4;1502
8;2375
8;2977
3;1370
1;823
5;2279
6;2295
4;2407
4;1906
8;2580
7;2751
8;2487
8;2995
2;1149
6;2486
4;2097
6;4680
5;2505
3;1351
1;708
2;730
6;2521
6;2459
3;1457
5;1539
7;2771
8;3261
2;1042
6;2451
1;1475
9;3422
8;3397
2;1171
5;1761
5;1565
5;2312
1;931
5;1916
9;3309
4;1631
9;3428
5;2608
5;3296
4;1325
2;843
8;3459
7;2792
8;3001
2;1035
2;734
4;1451
5;1994
9;3683
4;1370
5;1967
5;2617
2;1892
5;2246
9;3737
3;3176
7;4249
3;1767
5;2920
5;2198
7;3143
2;1464
2;606
3;806
5;5937
2;678
1;703
5;2591
2;664
2;1136
7;2591
1;736
1;767
7;6825
6;2853
7;3943
8;5793
4;1542
8;3144
6;2423
6;2055
4;1648
3;776
3;5520
5;1320
6;1180
2;932
8;2016
2;934
3;6416
7;4868
1;1070
6;2170
5;2241
9;4285
1;1462
3;956
5;1789
4;1770
3;801
2;766
5;1698
7;2233
7;2441
2;859
4;1257
7;2329
8;2280
1;761
1;522
4;1499
1;649
8;2571
4;1794
1;641
5;2717
5;3149
8;2645
8;2175
9;3549
7;1588
1;681
3;812
7;2876
3;8878
5;1714
5;1281
4;1285
3;2145
4;1648
7;3910
3;1488
2;1226
6;2447
7;1875
5;1259
1;1107
6;1892
9;3839
5;2009
2;1085
9;2913
4;1216
3;765
1;671
1;716
7;1407
2;816
1;719
4;956
1;564
4;777
1;506
1;551
6;2510
2;700
2;705
8;1430
5;161
5;759
9;1071
5;1673
8;1749
3;957
5;818
5;873
1;773
2;540
7;864
1;833
7;884
1;813
6;1839
4;1025
1;607
1;1192
4;672
4;1004
8;1009
9;1346
1;662
7;554
1;585
6;887
1;767
9;1267
2;660
5;1355
2;713
4;819
3;3452
5;7234
4;1690
5;2302
6;2774
7;2842
1;1194
9;3614
8;3320
4;1414
9;3486
3;1260
3;860
2;936
3;842
6;2794
8;4106
9;4614
9;2908
5;2162
2;1566
5;1624
5;1152
7;3014
8;3162
5;1726
9;3336
1;1416
6;2040
5;5924
3;1242
5;2132
4;1516
2;1060
4;1728
6;2170
7;3148
3;1062
3;826
9;3608
9;3218
3;1068
3;800
8;3820
6;2568
1;968
1;954
3;1066
2;784
5;1970
2;1084
5;1534
7;2918
4;1576
6;2070
8;3284
7;3374
3;9746
9;3484
5;1566
6;1772
4;1187
9;4647
5;1405
5;2230
3;1126
2;740
5;1302
1;744
8;2990
6;1446
7;2506
5;1479
5;1086
7;3552
3;1174
3;783
1;583
6;1150
7;5841
9;2575
4;1213
3;1556
1;779
6;1846
4;1235
3;1541
5;1888
6;2263
5;1056
1;1112
5;1624
6;1936
9;2687
7;2041
4;1575
1;1391
7;1744
7;2408
4;1598
1;1343
7;2152
3;1080
4;1231
6;1631
5;1440
9;3551
6;1351
2;1040
6;1728
6;2224
1;1049
8;2662
3;1408
9;3504
2;990
4;1191
1;1008
3;943
9;2272
5;1464
7;2616
7;2272
5;1704
5;1143
5;1920
2;1271
7;1720
3;1144
6;2200
1;1111
7;1527
4;1330
7;2168
4;1495
2;1151
2;576
6;1801
5;966
4;1807
5;1288
5;1239
5;1207
3;1398
1;1192
8;5112
3;2022
3;3464
4;1559
1;1271
9;4440
7;2614
2;1151
4;1327
7;3487
6;1719
8;2055
5;2254
4;1359
8;2768
4;1399
7;1926
5;1359
2;1112
3;1109
5;1391
6;2791
8;2339
2;1187
5;1424
3;1120
3;1024
2;904
5;1648
4;1359
2;951
8;2207
5;1159
1;943
8;2583
3;1296
5;1502
6;1607
9;2575
5;1320
8;2040
1;1031
5;1704
6;1407
2;959
1;902
5;2215
3;1256
7;2112
2;1096
9;3608
5;1552
2;1007
7;2247
3;1431
3;999
6;1663
2;1207
6;2000
3;1096
5;1280
5;1528
6;1784
3;1296
9;2024
2;1255
7;1807
2;911
4;1095
8;2368
3;1184
4;1264
6;1440
4;1408
6;1856
1;1039
5;1839
6;2007
5;1815
8;2104
2;1095
2;1120
7;2928
1;920
7;1980
6;1479
9;2848
5;1663
4;1783
1;1839
7;1887
3;1167
3;1223
5;1512
7;4487
4;2064
9;2391
8;2503
8;1912
9;2535
7;2312
8;2136
8;3248
6;2367
3;3896
9;4559
6;3183
1;801
2;760
3;841
4;846
5;1191
6;990
5;2079
9;2829
5;1271
6;2337
8;2445
8;1964
7;2834
9;3383
9;3751
5;2506
3;965
7;2653
8;3122
8;3174
5;1083
5;1134
6;1402
5;1650
5;863
8;2287
5;1424
9;2092
8;2170
6;1779
9;1880
6;1830
4;1068
4;806
2;711
8;2395
2;739
3;807
5;2128
8;3595
2;1777
5;1159
2;1165
5;1127
5;1414
2;799
2;758
2;877
6;1822
7;2055
1;1012
9;2943
4;1038
1;640
2;686
1;631
4;1255
7;2633
6;2910
6;1360
4;1319
3;1422
9;3480
2;734
8;2994
1;670
6;1727
7;2295
9;2361
9;2099
7;3142
3;1000
4;1126
1;545
9;3510
1;630
5;1479
4;1134
7;2550
6;1615
6;1776
5;1557
6;2072
8;2598
6;2296
5;1455
3;6070
3;2816
9;4273
3;1499
7;2934
2;1846
6;3305
8;4497
5;2979
3;1286
3;1246
3;9622
1;1212
2;967
5;1310
7;2205
1;1072
2;1102
5;1327
1;892
3;852
6;1528
3;4132
7;5915
6;7960
1;3199
3;1284
5;2236
3;1643
3;1178
4;1784
8;3125
8;2962
2;1309
9;3731
1;1115
7;3100
8;3225
2;1147
4;1292
8;3498
5;2184
6;2022
7;2087
7;1986
3;3944
8;6651
3;2184
1;861
4;2671
6;2492
6;2847
8;3215
4;1475
1;783
2;848
4;1646
6;2440
4;1322
2;872
3;1037
7;2610
3;9638
8;5407
1;1435
5;2631
9;3719
4;1584
4;1708
4;1139
5;1271
5;1648
1;1116
9;2715
9;2932
9;2917
7;1898
8;3167
5;2428
3;698
5;2166
6;2450
5;2796
6;2108
2;1154
6;2350
1;948
4;1538
2;846
7;3070
4;1296
4;952
8;8968
1;840
3;1130
3;922
2;806
6;4028
5;1928
5;2186
2;844
6;2876
3;3710
6;2388
6;2872
3;1176
5;2616
3;513
3;700
2;577
5;1840
4;1266
5;2463
5;1962
6;2323
4;1499
5;1141
6;3020
8;8761
8;4275
3;1015
5;2117
9;3222
5;2513
6;2098
1;814
4;1467
1;648
4;1150
5;1095
5;1981
4;2477
2;683
5;1885
8;3093
1;850
3;1048
2;664
5;1139
9;3480
5;2741
8;3308
9;4396
9;3577
3;3674
3;1044
6;3487
5;1896
4;2669
1;602
7;2484
1;716
3;1249
5;1805
5;1605
8;2567
5;1098
2;1031
1;642
4;1451
9;3217
3;1759
5;1907
2;723
8;3938
4;1454
1;1280
9;1404
7;2182
9;3229
5;1896
6;1750
6;2584
5;2638
1;630
9;4006
9;2384
7;3064
3;1049
9;2664
4;1475
3;961
4;1615
5;2240
8;2214
2;779
1;1083
3;844
1;968
6;2000
8;4564
7;5262
2;1063
2;1227
3;992
9;2863
5;2353
5;1982
4;1977
2;1012
5;2102
8;2900
4;1817
1;609
6;2070
4;1546
5;1653
6;1465
6;1465
8;2483
3;1350
8;2600
7;2099
8;2732
6;1491
5;2846
4;1552
2;1058
1;893
9;3959
5;2916
5;2056
9;3409
9;3326
8;2758
7;1600
5;1952
9;2679
7;2835
5;1717
1;1017
9;5308
1;982
2;1011
7;2037
5;2313
6;1382
2;1000
6;1872
9;2877
7;2875
9;4761
5;1783
6;1673
5;2291
6;1703
6;2215
7;1990
8;2693
2;951
7;2090
5;3211
9;4633
3;3908
6;2013
8;2016
6;2347
4;2007
7;2378
7;1684
3;1276
5;1418
1;1004
6;1562
1;669
5;1704
5;963
5;1343
6;897
3;1177
5;2234
5;889
4;1248
6;1026
5;1132
4;1200
5;1604
8;1345
5;1967
9;2235
3;2822
1;890
2;962
6;1989
5;1403
8;1275
4;2288
1;744
4;1107
5;1706
7;1404
5;1303
4;2645
5;1848
4;1038
8;2770
3;931
5;1348
8;2861
5;943
1;754
7;2432
4;1564
4;833
3;985
7;1837
7;1784
6;3004
